Title,TITLE NAME,UnclassifiedSL,TITLE CODE,SG,JC,NU,FOC,LEVEL,STD. NO.,AGENCY CODE,NBR POS,DECNTRL. LVL.,DUTIES ONLY,SG_UNCLASS
Stores & Mail Opertns Supvr,Stores & Mail Operations Supervisor ,Supervisor ,2581500 ,12 ,0 ,02 ,6,J ,2581500F,XXXXX ,156 ,NA,Y ,
Motor Veh Oper,Motor Vehicle Operator ,Operator ,7616100 ,07 ,1 ,03 ,8,J ,7616100F,XXXXX ,689 ,U ,Y ,
Maintce Assnt,Maintenance Assnt ,Assnt ,7202000 ,09 ,1 ,03 ,8,J ,7202000F,XXXXX ,1873 ,U ,Y ,
Office Assnt 3 Calculations,Office Assnt 3 Calculations ,Calculations ,2581310 ,14 ,0 ,02 ,6,P ,2581100F,XXXXX ,554 ,NA,N ,
Nrsng Hme Act Assnt 2,Nursing Home Activities Assnt 2 ,2 ,5906120 ,14 ,0 ,04 ,5,J ,5906110T,XXXXX ,5 ,S ,Y ,
Srvc&Repr Mechanic Mtr Eq,Service & Repair Mechanic Motor Equipment ,Equipment ,7347130 ,12 ,1 ,03 ,7,P ,7347130F,XXXXX ,798 ,S ,Y ,
Academic Advsmnt Asnt,Academic Advisement Assistant (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Maintenance Supvr 1 Motor Eq,Maintenance Supvr 1 Motor Equipment ,Equipment ,7101340 ,14 ,0 ,03 ,7,P ,7101340T,XXXXX ,161 ,NA,N ,
Library Clerk 3,Library Clerk 3 ,3 ,2559300 ,14 ,0 ,02 ,6,J ,2559200F,XXXXX ,63 ,NA,N ,
Student Actvts Assoc,Student Activities Associate (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Admnv Assnt 1,Admnv Assistant 1 ,1 ,2900100 ,11 ,0 ,02 ,6,J ,2900100F,XXXXX ,4561 ,NA,N ,
Senr Drftg Tech Archl,Senr Drafting Technician Architectural ,Architectural ,5111301 ,13 ,0 ,05 ,3,P ,5111300F,XXXXX ,6 ,S ,Y ,
Student Union Assoc,Student Union Associate (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Prin Clerk,Prin Clerk Collection ,Collection ,2501511 ,11 ,0 ,02 ,6,P ,520,00640 ,4 ,NA,N ,
Assnt Librarian 08 Cy,Assoc Librarian ,Librarian ,3601400 ,25 ,0 ,05 ,2,J ,3601400T,XXXXX ,3 ,NA,N ,
Instl Studies Asst,Institutional Studies Assistant (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Social Wkr 3,T.H. Social Worker II (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Trades Spec Painter,Trades Specialist Painter ,Painter ,7120110 ,12 ,1 ,03 ,7,P ,7120110F,XXXXX ,180 ,U ,Y ,
Maintce Assnt Mech,Maintenance Assnt Machinist ,Machinist ,7345050 ,09 ,1 ,03 ,8,P ,7345050F,28020 ,1 ,U ,Y ,
Senr Lab Animal Crtkr,Senr Laboratory Animal Caretaker ,Caretaker ,0911300 ,08 ,0 ,04 ,3,J ,0911200F,XXXXX ,68 ,NA,N ,
Counselor Special,Counselor (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Div I Athletic Univ Rel Dir,Div Dir Health Systems Management ,Management ,2883700 ,NS ,2 ,06 ,1,J ,NA,12000 ,1 ,NA,N ,
Prin Acct Clerk,Prin Architect ,Architect ,4801500 ,31 ,0 ,05 ,2,J ,NA,01050 ,3 ,NA,N ,
Srvc & Repair Asst Mtr Eq,Service & Repair Assnt Motor Equipment ,Equipment ,7121100 ,09 ,1 ,03 ,8,J ,7121100F,XXXXX ,130 ,U ,Y ,
Trans Supv 1,Transportation Supvr 1 ,1 ,7324510 ,11 ,0 ,03 ,3,J ,7324510F,XXXXX ,23 ,S ,N ,
Payroll Exmr 1,Payroll Examiner 1 ,1 ,0121100 ,12 ,0 ,02 ,6,J ,0121100F,XXXXX ,89 ,NA,N ,
Prin Lab Animal Crtkr,Prin Laboratory Animal Caretaker ,Caretaker ,0911500 ,11 ,0 ,04 ,3,J ,0911200F,XXXXX ,21 ,NA,N ,
Athletic Trainer,Athletic Trainer (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Purchase Assistant,Purchase Assistant (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Facility Optns Assnt 2 Grnds,Facility Operations Assnt 2 Grounds ,Grounds ,3010210 ,09 ,1 ,03 ,8,P ,3010100F,XXXXX ,74 ,U ,N ,
Trades Spec Carpenter,Trades Specialist Carpenter ,Carpenter ,7120100 ,12 ,1 ,03 ,7,J ,7120100F,XXXXX ,315 ,U ,Y ,
Assnt College Regstr Special,Assnt Counsel State Police ,Police ,6506215 ,NS ,1 ,18 ,2,P ,NA,01060 ,8 ,NA,N ,
Purchasing Assnt 2,Purchasing Agent ,Agent ,1803200 ,18 ,0 ,05 ,2,J ,1803100F,XXXXX ,19 ,NA,N ,
Nrsng Hme Act Assnt 1,Nursing Home Activities Assnt 1 ,1 ,5906110 ,11 ,0 ,04 ,5,J ,5906110T,XXXXX ,25 ,S ,Y ,
T H Cts Insrv Educ 2,Assnt In Higher Educ ,Educ ,3535200 ,22 ,0 ,05 ,2,J ,3535200F,11000 ,6 ,S ,Y ,
Dev Asso,Developmental Assnt 1 ,1 ,5546110 ,12 ,0 ,04 ,5,J ,5546110F,51XXX ,1178 ,S ,Y ,
Staff Assistant Spec,Staff Assistant (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Nursing Assnt 2,Nursing Assnt 2 ,2 ,5530200 ,08 ,1 ,04 ,5,J ,5530100F,XXXXX ,1735 ,S ,Y ,
Plasterer,Public Safety Grants Representative 1 ,1 ,8608100 ,18 ,0 ,05 ,2,J ,8608100F,01XXX ,41 ,NA,N ,
Small Bus Dev Cnslt,Special Counsel ,Counsel ,6558300 ,NS ,2 ,06 ,2,J ,NA,XXXXX ,9 ,NA,N ,
Trades Spec Mason & Plstr,Trades Specialist Mason & Plasterer ,Plasterer ,7120150 ,12 ,1 ,03 ,7,P ,7120150F,XXXXX ,129 ,U ,Y ,
Recycling Spec,Recycling Specialist ,Specialist ,6958100 ,08 ,1 ,03 ,8,J ,6958100F,28050 ,7 ,NA,N ,
Info Tech Assnt,Information Technology Assistant ,Assistant ,0815100 ,12 ,0 ,02 ,3,J ,0815100F,XXXXX ,94 ,NA,N ,
Senr Dental Assistant,Senr Dental Assnt ,Assnt ,5350300 ,10 ,0 ,04 ,5,J ,5350200F,28XXX ,13 ,S ,Y ,
Prin Mail&Suply Clk,Principal (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Senr Grounds Worker,Senr Launderer ,Launderer ,3302300 ,07 ,1 ,04 ,8,J ,3302200F,XXXXX ,10 ,S ,Y ,
Parking Srvs Attdnt,Parking Services Attendant ,Attendant ,3023100 ,05 ,3 ,03 ,8,J ,3023100F,XXXXX ,159 ,S ,Y ,
Office Assnt 2 (Claculations),Office Assnt 2 Calculations ,Calculations ,2581260 ,09 ,0 ,02 ,6,P ,2581100F,XXXXX ,2475 ,U ,Y ,
Housekeeper,Housekeeper ,Housekeeper ,3004000 ,07 ,1 ,04 ,8,J ,3004000F,XXXXX ,267 ,S ,Y ,
Assnt Purchsng Agnt,Assnt Purchasing Agent ,Agent ,1803100 ,14 ,0 ,05 ,2,J ,1803100F,XXXXX ,36 ,NA,N ,
Calcultns Clerk 2,Call Center Manager ,Manager ,2836500 ,25 ,0 ,05 ,2,J ,2546400F,25000 ,2 ,NA,N ,
Office Assistant 2,Office Assnt 2 ,2 ,2581200 ,09 ,0 ,02 ,6,J ,2581100F,XXXXX ,2671 ,U ,Y ,
Manager,Manager (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Office Assnt 2 Calculations,Office Assnt 2 Calculations ,Calculations ,2581260 ,09 ,0 ,02 ,6,P ,2581100F,XXXXX ,2475 ,U ,Y ,
Office Assnt 1 (Stores/Mail),Office Assnt 1 Stores/Mail ,Stores/Mail ,2581150 ,06 ,0 ,02 ,6,P ,2581100F,XXXXX ,1164 ,U ,Y ,
Resdnc Hall Dir,Residence Hall Director (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Trades Spec (Carpenter),Trades Specialist Carpenter ,Carpenter ,7120100 ,12 ,1 ,03 ,7,J ,7120100F,XXXXX ,315 ,U ,Y ,
Barber,Barber ,Barber ,5302100 ,08 ,1 ,04 ,7,J ,5302100F,XXXXX ,12 ,S ,Y ,
T H Sterl Sply Tech 1,Teaching Hosp Sterile Supply Technician 1 ,1 ,6211510 ,07 ,1 ,04 ,3,J ,6211510F,28XXX ,136 ,NA,N ,
Career Plng&Dev Assoc,Career Planning and Development Associate (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Financial Aid Assnt,Financial Aid Assistant (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Office Assnt 2,Office Assnt 2 ,2 ,2581200 ,09 ,0 ,02 ,6,J ,2581100F,XXXXX ,2671 ,U ,Y ,
Library Clerk 2,Library Clerk 2 ,2 ,2559200 ,09 ,0 ,02 ,6,J ,2559200F,XXXXX ,281 ,S ,Y ,
Resch Instrctr-12M,Research Instructor (12 month (B6),(B6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dental Assnt,Dental Assnt ,Assnt ,5350200 ,08 ,1 ,04 ,5,J ,5350200F,XXXXX ,205 ,S ,Y ,
Maintce Helper,Marine Helper ,Helper ,7442100 ,NS ,3 ,23 ,8,S ,7442100F,55095 ,55 ,S ,Y ,
Clerk 2,Cleaner ,Cleaner ,3014000 ,05 ,3 ,03 ,8,J ,3014000F,XXXXX ,4866 ,U ,Y ,
Senr Lab Tech,Senr Laboratory Technician ,Technician ,6204300 ,12 ,0 ,04 ,3,J ,6204200F,XXXXX ,79 ,S ,N ,
Associate Counselor,Associate Counselor (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Suply Clk,Supply Assnt ,Assnt ,2709275 ,04 ,3 ,02 ,6,J ,2709275F,XXXXX ,351 ,U ,Y ,
Mason&Plasterer,Manager Classification & Compensation ,Compensation ,1438600 ,64 ,0 ,06 ,2,J ,1436116F,08000 ,2 ,NA,N ,
Office Assnt 2 (Stores/Mail),Office Assnt 2 Stores/Mail ,Stores/Mail ,2581280 ,09 ,0 ,02 ,6,P ,2581100F,XXXXX ,545 ,U ,Y ,
T H Med Rec Spec,T.H. Medical Records Senior Specialist (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Keyboard Spec 2,Laboratory Specialist 1 ,1 ,6165030 ,18 ,0 ,05 ,2,J ,6165030F,12000 ,70 ,NA,N ,
Visiting Assnt P 12mo,Visiting Assistant Professor (12 month) (B5),(B5),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Nursing Station Clk 1,Nursing Station Clerk 1 ,1 ,2506100 ,07 ,0 ,02 ,6,J ,2506100F,XXXXX ,643 ,S ,Y ,
Dental Hygienist,Dental Hygienist ,Hygienist ,5359000 ,12 ,0 ,04 ,3,J ,5359000F,XXXXX ,83 ,S ,Y ,
Senr Data Enty Mach O,Senr Offset Printing Machine Operator ,Operator ,2717300 ,09 ,0 ,03 ,6,J ,2717300F,XXXXX ,6 ,NA,N ,
Recycling Supvr,Recycling Supvr ,Supvr ,6958200 ,10 ,1 ,03 ,8,J ,6958100F,28050 ,1 ,NA,N ,
Hosp Physl Thrpy Aide,Hosp Patient Services Clerk 1 ,1 ,2517110 ,07 ,0 ,02 ,6,J ,2517110F,XXXXX ,283 ,S ,Y ,
Assnt To Pres Cm R,Assnt To Presiding Judge ,Judge ,9024501 ,NS ,2 ,06 ,2,I ,NA,20050 ,14 ,NA,N ,
Office Assnt 1 Keyboarding,Office Assnt 1 Keyboarding ,Keyboarding ,2581110 ,06 ,0 ,02 ,6,P ,2581100F,XXXXX ,7571 ,U ,Y ,
Office Assnt 2 Stores/Mail,Office Assnt 2 Stores/Mail ,Stores/Mail ,2581280 ,09 ,0 ,02 ,6,P ,2581100F,XXXXX ,545 ,U ,Y ,
Horticultural Tech 1,Horticultural Technician 1 ,1 ,1101110 ,08 ,1 ,05 ,3,J ,1101110F,XXXXX ,15 ,NA,N ,
Stores Clerk 1,Stores Clerk 2 Motor Equipment ,Equipment ,1831130 ,09 ,0 ,02 ,6,P ,1831130T,17XXX ,34 ,NA,N ,
Grounds Worker,Groundskeeper ,Groundskeeper ,1004100 ,NS ,3 ,03 ,8,J ,NA,01050 ,2 ,NA,N ,
Office Assnt 1 Stores/Mail,Office Assnt 1 Stores/Mail ,Stores/Mail ,2581150 ,06 ,0 ,02 ,6,P ,2581100F,XXXXX ,1164 ,U ,Y ,
Office Assistant 1,Office Assnt 1 ,1 ,2581100 ,06 ,0 ,02 ,6,J ,2581100F,XXXXX ,6376 ,U ,Y ,
Comty Relations Assnt,Community Relations Assistant (SL1),(SL1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Senr Mail&Supply Clk,Senr Toll Collector ,Collector ,0112600 ,NS ,0 ,15 ,6,J ,NA,55020 ,24 ,NA,N ,
Assnt Dir College Hsg Spec,Assnt Dir Correctional Health Services ,Services ,5290450 ,62 ,0 ,06 ,2,J ,5290450F,10160 ,3 ,NA,N ,
Coord Dental Assnts,Coord Inmate Movement ,Movement ,8371200 ,22 ,0 ,05 ,2,J ,8371200F,10160 ,11 ,NA,N ,
Print Equip Operator 1 Digital,Print Equipment Operator 1 Digital ,Digital ,7701110 ,06 ,0 ,02 ,6,P ,7701100F,XXXXX ,14 ,U ,Y ,
Mail&Supply Clerk,Head Mail & Supply Clerk ,Clerk ,2709600 ,15 ,0 ,05 ,6,J ,2709800F,XXXXX ,17 ,NA,N ,
Data Entry MacH Oper,Data Analyst 1 ,1 ,2490100 ,18 ,1 ,06 ,2,J ,2490100F,01010 ,6 ,NA,N ,
Senr Parking Srvs Att,Senr Parking Services Attendant ,Attendant ,3023200 ,08 ,3 ,03 ,8,J ,3023100F,XXXXX ,35 ,NA,N ,
Nursing Assnt 1,Nursing Assnt 1 ,1 ,5530100 ,06 ,1 ,04 ,5,J ,5530100F,XXXXX ,55 ,NA,N ,
Labor Supvr,Labor Services Rep ,Rep ,8407110 ,16 ,0 ,05 ,2,J ,8407110F,14020 ,875 ,S ,Y ,
Bookbinder,Bookbinder ,Bookbinder ,7711200 ,10 ,1 ,03 ,7,J ,NA,XXXXX ,5 ,NA,N ,
Hosp Attendant 1,Hosp Attendant 1 ,1 ,5501100 ,05 ,1 ,04 ,5,J ,5501100F,XXXXX ,776 ,S ,Y ,
T H Med Rec Assnt 2,T.H. Medical Records Assistant I (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Beautician,Beautician ,Beautician ,5303100 ,08 ,1 ,04 ,7,J ,5303100F,XXXXX ,19 ,S ,Y ,
Licensed Prac Nrs,Licensed Practical Nurse ,Nurse ,5500200 ,10 ,0 ,04 ,3,J ,5500200F,XXXXX ,1880 ,S ,Y ,
Keyboard Spec 1,Laboratory Specialist 1 ,1 ,6165030 ,18 ,0 ,05 ,2,J ,6165030F,12000 ,70 ,NA,N ,
Offset Prnt Mch Op,Office Srvs Manager ,Manager ,2551800 ,23 ,0 ,05 ,2,J ,2551400F,XXXXX ,44 ,NA,N ,
Office Assnt 1 (Keyboarding),Office Assnt 1 Keyboarding ,Keyboarding ,2581110 ,06 ,0 ,02 ,6,P ,2581100F,XXXXX ,7571 ,U ,Y ,
Office Assnt1,Office Assnt 1 ,1 ,2581100 ,06 ,0 ,02 ,6,J ,2581100F,XXXXX ,6376 ,U ,Y ,
Associate Counselor Special,Associate Counselor (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Office Assnt 2 (Keyboarding),Office Assnt 2 Keyboarding ,Keyboarding ,2581210 ,09 ,0 ,02 ,6,P ,2581100F,XXXXX ,1754 ,U ,Y ,
Electronics Techn,Electronic Toll Maintenance Technician ,Technician ,7384100 ,NS ,0 ,15 ,3,J ,NA,55020 ,10 ,NA,N ,
Stores Clerk 2,Stores Clerk 2 Motor Equipment ,Equipment ,1831130 ,09 ,0 ,02 ,6,P ,1831130T,17XXX ,34 ,NA,N ,
Computer Oper,Computer Operator ,Operator ,0821200 ,10 ,0 ,02 ,3,J ,0821200T,XXXXX ,166 ,NA,N ,
Maintce Assnt Painter,Maintenance Assnt Painter ,Painter ,7202150 ,09 ,1 ,03 ,8,P ,7202150F,XXXXX ,89 ,U ,Y ,
Calculations Clerk 1,Call Center Director ,Director ,2836700 ,64 ,1 ,06 ,1,J ,2836600F,25000 ,1 ,NA,N ,
Plant Util Helper,Plant Utilities Engineer 1 ,1 ,7520100 ,14 ,0 ,03 ,7,J ,7520100F,XXXXX ,951 ,U ,Y ,
Senr Data Enty MacH O,Senr Offset Printing Machine Operator ,Operator ,2717300 ,09 ,0 ,03 ,6,J ,2717300F,XXXXX ,6 ,NA,N ,
Student Actvts Assnt,Student Activities Assistant (SL1),(SL1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Supply Assnt,Supply Assnt ,Assnt ,2709275 ,04 ,3 ,02 ,6,J ,2709275F,XXXXX ,351 ,U ,Y ,
Srvc&Repr Mechanic Tr 2 Hvac-R,Service & Repair Mechanic Trainee 2 HVAC-R ,HVAC-R ,7347142 ,NS ,1 ,03 ,7,T ,NA,XXXXX ,0 ,NA,N ,
Chaplain,Chaplain ,Chaplain ,8281000 ,22 ,1 ,05 ,2,J ,8281000F,XXXXX ,307 ,S ,Y ,
Clerk 1,Cleaner ,Cleaner ,3014000 ,05 ,3 ,03 ,8,J ,3014000F,XXXXX ,4866 ,U ,Y ,
Facility Optns Assnt 1 Grnds,Facility Operations Assnt 1 Grounds ,Grounds ,3010120 ,06 ,3 ,03 ,8,P ,3010100F,XXXXX ,435 ,U ,Y ,
Instrucl Supprt Assnt Special,Instructional Support Specialist (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Supvg Housekeeper,Supvg Housekeeper ,Housekeeper ,3004500 ,11 ,1 ,04 ,8,J ,3004500F,XXXXX ,120 ,S ,N ,
Admissions Intern,Admissions Advisor (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Supply Clk,Supply Assnt ,Assnt ,2709275 ,04 ,3 ,02 ,6,J ,2709275F,XXXXX ,351 ,U ,Y ,
Career Plng&Dev Assnt,Career Planning and Development Assistant (SL1),(SL1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Office Assnt 2 Keyboarding,Office Assnt 2 Keyboarding ,Keyboarding ,2581210 ,09 ,0 ,02 ,6,P ,2581100F,XXXXX ,1754 ,U ,Y ,
T H Sterl Sply Tech 2,Teaching Hosp Sterile Supply Technician 2 ,2 ,6211520 ,08 ,1 ,04 ,3,J ,6211510F,28XXX ,112 ,NA,N ,
Residence Hall Intern,Residence Hall Intern (SL1),(SL1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Maintce Assnt Electrn,Maintenance Assnt Electrician ,Electrician ,7345060 ,09 ,1 ,03 ,8,P ,7345060F,XXXXX ,65 ,U ,Y ,
Academic Advsmnt Intn,Academic Advisement Intern (SL1),(SL1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Offset Prnt McH Op,Office Srvs Manager ,Manager ,2551800 ,23 ,0 ,05 ,2,J ,2551400F,XXXXX ,44 ,NA,N ,
Supply Clerk,Supply Assnt ,Assnt ,2709275 ,04 ,3 ,02 ,6,J ,2709275F,XXXXX ,351 ,U ,Y ,
Medical Assnt,Medical Assnt ,Assnt ,2587000 ,08 ,0 ,04 ,5,J ,2587000F,XXXXX ,190 ,S ,N ,
Laboratory Animal Crt,Laboratory Animal Caretaker ,Caretaker ,0911200 ,05 ,1 ,04 ,8,J ,0911200F,XXXXX ,64 ,NA,N ,
Th Staff Asst I Special,T.H. Staff Associate (SL4),(SL4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dean (Business),Dean (Nursing) (MP),(MP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Dev Assnt,Developmental Assnt 1 ,1 ,5546110 ,12 ,0 ,04 ,5,J ,5546110F,51XXX ,1178 ,S ,Y ,
Laboratory Helper,Laboratory Aide ,Aide ,6204000 ,05 ,1 ,04 ,8,J ,6204000T,XXXXX ,50 ,NA,N ,
Facility Optns Assnt 1 Utls,Facility Operations Assnt 1 Utilities ,Utilities ,3010110 ,06 ,3 ,03 ,8,P ,3010100T,XXXXX ,150 ,U ,Y ,
T H Instrctl Sup Asnt,T.H. Instructional Support,Support,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Student Assnt,Student Assnt ,Assnt ,2883100 ,NS ,1 ,05 ,2,J ,2883100F,XXXXX ,1562 ,U ,Y ,
Facility Operations Assnt 2,Facility Operations Assnt 2 ,2 ,3010200 ,09 ,1 ,03 ,8,J ,3010100F,XXXXX ,172 ,NA,N ,
Clinical Lecturer,Clinical Lecturer (A0),(A0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Laboratory Worker,Laboratory Worker ,Worker ,6202200 ,04 ,1 ,04 ,8,J ,6202200F,XXXXX ,32 ,NA,N ,
Library Aide,Library Aide ,Aide ,3610100 ,01 ,3 ,02 ,8,J ,3610100F,28XXX ,3 ,NA,N ,
Radiol Tech,Radiologic Technologist ,Technologist ,6212200 ,09 ,0 ,04 ,3,J ,6212200F,XXXXX ,4 ,S ,Y ,
Tech Assnt-Csl,Technical Assistant (CSL) (SL1),(SL1),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Lecturer (Hs),Lecturer (HS) (C0),(C0),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Visiting Assoc P 12mo,Visiting Associate Professor (12 month) (B4),(B4),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Col Camp Assnt,College Camp Assnt ,Assnt ,1566110 ,NS ,0 ,71 ,5,S ,1566110F,28350 ,8 ,NA,N ,
Dev Assoc,Developmental Assnt 1 ,1 ,5546110 ,12 ,0 ,04 ,5,J ,5546110F,51XXX ,1178 ,S ,Y ,
Visiting Assoc Lib,Visiting Associate Librarian,Librarian,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Federal Cws Student,Head Stores Clerk ,Clerk ,1831600 ,15 ,0 ,04 ,6,J ,NA,10XXX ,2 ,NA,N ,
Electronic Equip Mech,Electronic Equipment Engineer Security Systems ,Systems ,4133210 ,21 ,0 ,05 ,2,P ,4133210F,10160 ,5 ,NA,N ,
Tech Spec-Csl,Technical Specialist (CSL) (SL),(SL),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Resch Instrctr-10M,Research Instructor (10 month) (A6),(A6),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Biomed Eng Sr Tec,T.H. Biomedical Engineer (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Th Cts Spch Pthlgy 2,T.H. Physical Therapist III (SL2),(SL2),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Col Summer Camp Assnt,College Camp Assnt ,Assnt ,1566110 ,NS ,0 ,71 ,5,S ,1566110F,28350 ,8 ,NA,N ,
Artists Model Pt,Artists Model Pt ,Pt ,2208100 ,NS ,1 ,05 ,3,J ,2208100F,28XXX ,82 ,S ,Y ,
Lifeguard,Lifeguard ,Lifeguard ,1559100 ,05 ,1 ,68 ,4,J ,1559100F,XXXXX ,713 ,S ,Y ,
Resch Assoc Prof,Research Assoc ,Assoc ,2459940 ,NS ,2 ,05 ,2,J ,2459940F,XXXXX ,32 ,NA,N ,
T H Rec Therpy Spec,T.H. Recreation Therapy Specialist (SL3),(SL3),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
T H Cts Spch Pthlgy 1,Teaching & Research Cntr Specialty Nurse ,Nurse ,5506150 ,18 ,0 ,05 ,2,J ,5506150F,28XXX ,620 ,S ,Y ,
Hosp Clincl Assnt Vh,Hosp Nursing Services Consultant ,Consultant ,5616200 ,22 ,0 ,05 ,2,J ,NA,XXXXX ,225 ,NA,N ,
Teaching&Rsch Ctr N 3,Teaching & Research Cntr Nurse 3 ,3 ,5506230 ,20 ,0 ,05 ,2,J ,5506210F,28XXX ,444 ,S ,Y ,
